,text,created_at,brand,sent,pos,neg,neu,compound
42,"RT @nytimes: A grateful nation honors a great woman: The remains of Simone Veil, Holocaust survivor and women's rights champion, were burie…",Sun Jul 01 22:02:37 +0000 2018,@NYtimes,"{'neg': 0.0, 'neu': 0.472, 'pos': 0.528, 'compound': 0.9501}",0.528,0.0,0.472,0.9501
43,RT @EdAlvarezB: @Popehat @nytimes From the Seidman article linked in the piece. Free speech was great until the other side uses it https://…,Sun Jul 01 22:02:36 +0000 2018,@NYtimes,"{'neg': 0.0, 'neu': 0.739, 'pos': 0.261, 'compound': 0.8126}",0.261,0.0,0.739,0.8126
44,RT @AaronBastani: in today's @nytimes 🌹 https://t.co/a1MfwrpPuk,Sun Jul 01 22:02:36 +0000 2018,@NYtimes,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
45,@nytimes Well the NRA wants everyone with AR-15's so why worry right?,Sun Jul 01 22:02:35 +0000 2018,@NYtimes,"{'neg': 0.208, 'neu': 0.655, 'pos': 0.137, 'compound': -0.2682}",0.137,0.208,0.655,-0.2682
46,RT @tedgioia: A John Coltrane TV commercial on CNN today? A full-page ad in the @nytimes? Give credit to Universal Music jazz honcho Danny…,Sun Jul 01 22:02:35 +0000 2018,@NYtimes,"{'neg': 0.0, 'neu': 0.876, 'pos': 0.124, 'compound': 0.4515}",0.124,0.0,0.876,0.4515
47,"RT @nytimes: A grateful nation honors a great woman: The remains of Simone Veil, Holocaust survivor and women's rights champion, were burie…",Sun Jul 01 22:02:34 +0000 2018,@NYtimes,"{'neg': 0.0, 'neu': 0.472, 'pos': 0.528, 'compound': 0.9501}",0.528,0.0,0.472,0.9501
48,RT @nytimes: Immigrant families are being charged thousands of dollars in airfare to get children out of federally contracted migrant shelt…,Sun Jul 01 22:02:33 +0000 2018,@NYtimes,"{'neg': 0.083, 'neu': 0.917, 'pos': 0.0, 'compound': -0.2023}",0.0,0.083,0.917,-0.2023
49,RT @nytimes: Immigrant families are being charged thousands of dollars in airfare to get children out of federally contracted migrant shelt…,Sun Jul 01 22:02:31 +0000 2018,@NYtimes,"{'neg': 0.083, 'neu': 0.917, 'pos': 0.0, 'compound': -0.2023}",0.0,0.083,0.917,-0.2023
50,"@Rschooley @SusanTCase @nytimes @washingtonpost Times buries anti-Trump pieces in name of “equal time”, when they’r… https://t.co/KZwqeK2avS",Sun Jul 01 22:02:30 +0000 2018,@NYtimes,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
51,RT @nycsouthpaw: @LipmanTweets @nytimes Guess they got your message https://t.co/p3JqGGBS0c,Sun Jul 01 22:02:30 +0000 2018,@NYtimes,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
52,"RT @NewKnowledgeAI: @nytimes @WSJ @Joe_America1776 These accounts were hijacked, interfered with the us election, and are still active. @fa…",Sun Jul 01 22:02:29 +0000 2018,@NYtimes,"{'neg': 0.0, 'neu': 0.87, 'pos': 0.13, 'compound': 0.4019}",0.13,0.0,0.87,0.4019
53,"RT @nytimes: According to conventional wisdom, audiences for documentaries live on the coasts and vote Democratic. But these are unconventi…",Sun Jul 01 22:02:28 +0000 2018,@NYtimes,"{'neg': 0.0, 'neu': 0.848, 'pos': 0.152, 'compound': 0.5267}",0.152,0.0,0.848,0.5267
54,@LukeDashjr @cindi_leive @nytimes You mean they're admitting to having an abortion? That's not an admission of guilt.,Sun Jul 01 22:02:27 +0000 2018,@NYtimes,"{'neg': 0.116, 'neu': 0.884, 'pos': 0.0, 'compound': -0.2732}",0.0,0.116,0.884,-0.2732
55,"RT @sjandrews76: Yes! @VancouverSun @theprovince @nytimes @BlackPressMedia 
Don’t like being called out for aiding and abetting the B.C. Li…",Sun Jul 01 22:02:24 +0000 2018,@NYtimes,"{'neg': 0.0, 'neu': 0.756, 'pos': 0.244, 'compound': 0.6696}",0.244,0.0,0.756,0.6696
56,RT @bameado1: Trump👎called other @GOP candidates ugly names &amp; continues to do same in Ovl Ofc @POTUS UNCIVIL @MSNBCPR @CNNPolitics @washing…,Sun Jul 01 22:02:23 +0000 2018,@NYtimes,"{'neg': 0.142, 'neu': 0.858, 'pos': 0.0, 'compound': -0.5106}",0.0,0.142,0.858,-0.5106
57,"RT @NewKnowledgeAI: @nytimes @WSJ @Joe_America1776 Looking through the ""Kris Crawford's"" account history it's still possible to see when Ma…",Sun Jul 01 22:02:22 +0000 2018,@NYtimes,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
58,RT @nytimes: The Koch brothers are waging a sophisticated fight against public transit initiatives across the U.S. And they are winning.,Sun Jul 01 22:02:20 +0000 2018,@NYtimes,"{'neg': 0.098, 'neu': 0.639, 'pos': 0.263, 'compound': 0.6597}",0.263,0.098,0.639,0.6597
59,RT @stopcollusion: @miscellany101 @IED08 @chico751 @RSWestmoreland @ProgressiveBroh @nytimes  https://t.co/77cZqPgrt0,Sun Jul 01 22:02:19 +0000 2018,@NYtimes,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
60,RT @nytimes: The Koch brothers are waging a sophisticated fight against public transit initiatives across the U.S. And they are winning.,Sun Jul 01 22:02:19 +0000 2018,@NYtimes,"{'neg': 0.098, 'neu': 0.639, 'pos': 0.263, 'compound': 0.6597}",0.263,0.098,0.639,0.6597
61,"RT @nytimes: Cristiano Ronaldo and Lionel Messi, 2 of the best soccer players in the world, were both eliminated from the World Cup today h…",Sun Jul 01 22:02:19 +0000 2018,@NYtimes,"{'neg': 0.0, 'neu': 0.846, 'pos': 0.154, 'compound': 0.6369}",0.154,0.0,0.846,0.6369
